rec_id,ssn,first_name,middle_name,last_name,gender,age_at_consultation,birth_date,medicare_number,street_address,suburb,postcode,state,phone,email,marital_status,height,weight,bmi,blood_pressure,cholesterol_level,smoking_status,clinical_notes,consultation_timestamp
rec-50808,f164760009,ricky,ingram,greene,m,7,9/11/2013, 2015  63654  2  2 , 1947  cobden  road  cavers  hill ,simpson,,vic, 03  4315  1391 ,ricky.greene@yahoo.com,n/a,122,-99,14,79,274,0,arrythmnia,2020-02-14t18:44+00:00
rec-98106,i160792984,alex,wayne,buchanan,f,24,25/5/1991, 5543  84715  2  3 , 32  karalta  road  erina  gardens  caravan  park ,erina,2250,nsw, 02  5164  4685 ,mcerlrpcrn@mail.com,not-married,167,124,44,72,194,0,decreased-appetite,2015-03-25t08:04+00:00
rec-82690,a169693818,william,alexander,scott,m,43,24/9/1970, 7321  40056  1  2 , 2801  calder  highway  minto ,faraday,3451,vic, 03  9124  8416 ,scott9@aol.com,married-de-facto,184,87,25,74,187,0,hyperglycemia,2013-03-22t21:41+00:00
rec-71172,f176785520,johnnie,todd,wobbleton,f,42,21/4/1970, 6119  93135  2  2 , 8  peninsula  avenue  logandale  lakes ,loganholme,,qld,,wobbleton.johnnie.yahoo.com,married,175,124,40,77,63,0,night-sweats,2012-05-02t10:39+00:00
rec-7527,a133850722,paul,knight,kusmirek-pugh,m,69,31/1/1947, 4966  31639  1  2 , 40  kaolin  road  virginia  estate ,virginia,0835,nt, 08  5491  5871 ,paul.kusmirek-pugh.hotmail.com,not-married,183,134,40,82,245,0,bout-of-encephalopathy-while-at-rahab-facility,2016-01-27t24:54+00:00
rec-560,g101701876,tamara,jenkins,brockington,f,49,18/12/1966, 4215  98015  2  1 , 785  barrabool  road  weemelah ,ceres,3221,vic, 03  5881  4469 ,brockington.tamara@hotmail.com,not-married,175,119,38,81,187,0,mild-concussion,2015-03-05t15:10+00:00
rec-76322,h138496100,david,ray,cabe,m,14,29/5/2001, 1419  95681  1  2 , 435  warrandyte  road  highfields ,baxter,3911,vic,,david.cabe@aol.com,not-married,160,46,17,74,165,1,respiratory-virus,2015-12-17t20:35+00:00
rec-88181,a180838296,william,michael,laghribi,f,30,21/6/1985, 2035  15023  2  2 , 60  paul  coe  crescent  jacana  park ,ngunnawal,2913,act, 02  4716  0433 ,,widowed,195,83,21,75,210,0,crying,2015-06-21t08:45+00:00
rec-32158,g197044699,jennifer,h,whiteside,f,5,13/5/2008, 5474  52457  2  2 , 26  pope  road  hmas  cerberus ,mornington,3931,vic, 03  1601  1620 ,,n/a,104,22,20,75,140,0,vertigo,2013-10-11t05:34+00:00
rec-84207,e114818457,bryce,ray,hickson,f,29,31/12/1985, 9815  54074  1  2 , 201  empire  bay  drive  nautical  vlge ,kincumber,2251,nsw,,bryce77@yahoo.com,married-de-facto,179,118,36,71,125,1,dizziness,2014-06-04t01:28+00:00
rec-16226,i197908047,grace,,chadwick,f,26,25/6/1991, 1421  82703  2  1 , 131  newlands  drive  windsong ,paynesville,,vic,,,not-married,178,99,31,76,109,0,bilateral-rib-pain,2017-08-01t05:23+00:00
rec-29895,g112072127,terry,dean,maynard,f,21,18/6/1995, 6866  35192  2  3 , 695  lower  north  east  road  falcon  lodge ,paradise,5075,sa,,,not-married,193,-99,27,76,193,0,anxiety,2016-04-19t17:53+00:00
rec-84444,h125347594,darryn,justin,carter,f,57,18/5/1957, 4675  21112  1  2 , 7  viscount  close  villa  1 , shelly  beach ,,nsw, 02  7247  2278 ,darryn.carter@mail.com.au,not-married,185,111,32,79,264,1,palpitations,2014-06-04t22:38+00:00
rec-14298,i187391011,helen,springer,upcraft,f,33,27/7/1980, 1325  23599  2  1 , 400  main  road  northumbria ,jericho,7030,tas,,,married,177,116,37,72,71,0,depressed-mood-once-in-a-while,2013-10-09t16:15+00:00
rec-41837,h136857446,amelia,lee,todd,f,8,22/8/2009, 2940  20333  1  2 , 66  blowering  road  wunelli ,tumut,2720,nsw,,,n/a,129,34,20,70,258,0,depression,2017-12-06t05:32+00:00
rec-17060,f162124568,darion,allen,falls,m,46,16/8/1967, 2482  68049  2  1 , 2  north  street  oasis  resort , golden  beach ,,qld,,darion.falls@mail.com.au,married,194,103,27,74,236,0,moist-cough,2013-04-21t04:29+00:00
rec-79766,b132123611,charles,aaron,palmer,f,53,26/8/1964, 2829  31228  1  2 , 24  parkinson  street  weston  creek  health  centre ,weston,,act,,palmer.charles@gmail.com,married,167,-99,32,74,251,0,pneumonia,2017-07-05t14:54+00:00
rec-49932,h170395614,megan,lynn,goodes,f,59,31/5/1959, 7890  18830  1  1 , 95  wades  road  little  brown  house ,caboolture,4510,qld,,,not-married,180,122,37,82,161,0,ankle-swelling,2018-06-07t19:45+00:00
rec-88634,c189809315,harry,wayne,withers,m,58,2/9/1957, 2094  25289  1  2 , 1  goulburn  valley  highway  ostrich  farm ,nagambie,3608,vic, 03  5957  8908 ,withers46@mail.com,not-married,181,103,31,72,157,0,diarrhea,2015-02-04t20:38+00:00
rec-81617,b168320667,thierry,black,hamrick,f,12,4/12/2003, 8495  42526  1  3 , 3  meander  avenue  jane  eliza ,renmark,5341,sa, 08  6175  0625 ,lndfpfimeq@hotmail.com,n/a,158,57,22,72,118,0,abdominal-discomfort-due-to-gall-bladder-stones,2015-10-04t20:46+00:00
rec-8215,e177798621,connie,s,holmes,f,70,21/6/1943, 5597  72509  2  1 , 6259  broken  hills  drive  araucaria  precinct , sanctuary  cove ,4212,qld,,bhjemfagha@gmail.com,widowed,179,142,44,78,217,0,left-thumb-numb,2013-02-21t02:09+00:00
rec-20273,f171760671,maya,collins,roland,f,57,6/6/1958, 4778  97189  2  1 , 1  the  esplanade  thompsons  beach ,dublin,5501,sa,,roland54@yahoo.com,married,189,131,36,75,143,0,abdominal-discomfort-due-to-indigestion.,2015-03-16t09:15+00:00
rec-77733,e150360048,victor,brian,gittings,f,49,27/1/1968, 4265  51747  1  1 , 785  back  eildon  road  blackridge  flyfishing  school ,eildon,3713,vic, 03  8054  0641 ,victor56@gmail.com,not-married,178,145,45,80,153,0,insomnia,2017-07-11t13:16+00:00
rec-50221,g103149337,kimberly,theresa,kivett,m,9,3/7/2011, 2143  54601  2  2 , 49  augusta  road  calvary  hospital  marian  hse , lenah  valley ,7008,tas,,,n/a,126,44,27,68,225,0,fingers-numbing,2020-05-27t14:09+00:00
rec-53946,e191037158,david,l,franklin,m,25,30/4/1993, 7382  14743  2  2 , 11  araucaria  way  pine  lake  village ,elanora,4221,qld, 07  1840  1002 ,franklin.david@mail.com,separated,196,137,35,76,135,0,musculoskeletal-pain,2018-07-03t10:03+00:00
rec-20609,b154391938,maggie,drye,keever,f,35,12/10/1983, 2094  36333  1  1 , 78  burnett  street  cascade  glen ,buderim,4556,qld, 07  9309  9084 ,frroqrplsn@hotmail.com,not-married,173,143,47,72,158,1,vomiting,2018-08-13t17:28+00:00
rec-74231,c181974934,loel,franklin,courtney,m,54,8/7/1960, 2869  80083  1  2 , 2  slater  street  apt  202 ,melbourne,,vic, 03  0059  7002 ,dqcesloqfi@aol.com,not-married,175,61,19,75,145,0,abdominal-discomfort,2014-04-20t22:02+00:00
rec-737,c125887031,jeffrey,mckinley,caran,m,29,17/10/1988, 9022  71699  1  2 , 27  moore  street  ormond  street , caulfield  south ,3162,vic, 03  9966  8197 ,,not-married,173,-99,37,75,122,1,contact-dermatitis,2017-09-13t16:06+00:00
rec-92264,b100464411,michael,worth,ballard,f,48,18/4/1965, 9390  72231  2  2 , 12  goulburn  peninsula  pnsla , sylvania  waters ,2224,nsw, 02  4098  0706 ,,not-married,189,79,22,83,184,0,elevated-triglycerides,2015-02-05t16:11+00:00
rec-98991,g163360205,john,yates,mcnair,m,13,3/12/2001, 2485  90301  2  2 , 207  forest  way  glenaeon  ret  village ,belrose,2085,nsw,,john99@yahoo.com,not-married,163,50,18,75,196,0,sinus-infection,2014-12-26t07:15+00:00
rec-63433,a191867537,luelle,correll,shepard,f,59,25/10/1958, 7421  44346  1  2 , 1  wattle  avenue  rowethorpe ,bentley,6102,wa,,luelle94@gmail.com,married,173,112,37,75,158,0,retinal-vein-occlusion--l-eye,2017-09-19t17:15+00:00
rec-75770,a127995108,jimmy,,bell,f,15,24/12/1996, 3718  69571  2  3 , 110  biffins  road  raleigh  park , mount  hunter ,2570,nsw,,qnsenkdoje@gmail.com,not-married,165,80,29,73,95,0,low-back-pain,2011-09-05t10:58+00:00
rec-2062,i109380925,edna,c,scott,f,67,7/3/1947, 8242  26025  2  1 , 1  bronberg  court  villa  27 ,southport,4215,qld, 07  5375  1175 ,scott36@aol.com,separated,170,98,33,75,168,0,insomnia,2014-12-26t15:05+00:00
rec-86551,e123050621,arvelle,james,boykin,f,22,25/10/1993, 7923  55592  2  3 , 38  short  street  ambalena  farm ,bourke,2840,nsw,,boykin83@aol.com,married,165,106,38,69,198,0,vomiting,2015-09-18t13:24+00:00
rec-20882,g179939795,ada,danielle,hollodick,f,46,3/9/1968, 6353  56469  1  2 , 7  deakin  street  old  post  office ,beckom,,nsw,,,married,170,117,40,75,115,0,hypertension,2014-10-23t12:19+00:00
rec-66965,e193895980,brandy,jean,miller,m,40,9/5/1972, 8568  32510  2  1 , 63  forest  road  pine  villa ,millthorpe,2798,nsw, 02  9523  2036 ,brandy39@aol.com,married,172,83,28,77,172,0,sciatic-pain,2012-03-15t23:07+00:00
rec-58520,i141433458,evonne,purdy,szwec,f,58,4/5/1956, 1036  35420  1  1 , 349  new  south  head  road  flt  801 , double  bay ,2028,nsw, 02  5378  8794 ,,married-de-facto,186,105,30,68,148,0,pain-in-bottom-of-neck-with-headaches,2014-04-10t08:33+00:00
rec-7367,h132848944,douglas,woodrow,phelps,m,38,20/6/1977, 7027  30418  1  1 , 84  jacaranda  avenue  nareena  nursing  home ,figtree,2525,nsw, 02  2470  4429 ,douglas18@hotmail.com,married,182,69,20,73,253,0,right-carodtid-artery-stenosis,2015-11-05t07:53+00:00
rec-88845,g154729706,john,wayne,aiken,f,65,11/11/1952, 5027  38175  1  2 , 258  spring  street  yukana  retirement  vlge ,toowoomba,4350,qld,,john.aiken@aol.com,married-de-facto,190,56,15,76,160,0,headaches,2017-08-06t04:08+00:00
rec-31060,a139004735,ila,j,demarchi-hapeman,f,62,16/3/1953, 9699  13306  1  2 , 369  merriwa  road  parkland ,denman,2328,nsw,,,not-married,191,143,39,77,139,0,increasing-fatigue,2015-11-12t23:56+00:00
rec-13171,g165459432,frank,d,cashatt,m,33,25/10/1984, 2201  92824  2  1 , 280  north  road  pine  lodge , pine  lodge ,3631,vic,,cashatt78@yahoo.com,married,184,97,28,78,173,0,intestinal-virus,2017-05-03t09:02+00:00
rec-67514,e126704467,daniel,,zambrano,f,35,3/8/1982, 1986  63116  1  1 , 11  mckay  garden  george  turner  offices ,turner,2612,act, 02  1606  9551 ,zambrano.daniel@hotmail.com,not-married,177,76,24,80,209,0,intermittetn-low-energy,2017-01-01t20:10+00:00
