rec_id,ssn,first_name,middle_name,last_name,gender,current_age,birth_date,street_address,suburb,postcode,state,phone,email,education,occupation,salary,credit_card_number,years_of_experience,employment_timestamp
R41533420,g135344201,christina,iesha,allen,f,60,6/7/1957, 3  Towns  Crescent ,Turner,2612,ACT,,,certificate-iv,other-worker,68178, 8753  8290  4370  4451 ,43,2016-11-14T06:54+00:00
R49097862,i160792984,alex,wayne,buchanan,f,29,25/5/1991, 32  karalta  road  erina  gardens  caravan  park ,erina,2250,nsw, 02  5164  4685 ,mcerlrpcrn@mail.com,bachelor-degree,health-professional,130853, 9885  2150  8501  4593 ,1,2011-12-04t18:10+00:00
R98369168,a169693818,william,alexander,scott,f,50,24/9/1970, 6  george  crescent  robertson  barracks , fannie  bay ,0820,nt, 08  1898  9375 ,scott9@aol.com,graduate-diploma,general-manager,147477, 1279  3875  7975  1941 ,31,2020-04-14t07:57+00:00
R58675720,f176785520,johnnie,todd,wobbleton,f,50,21/4/1970, 74  wardoo  street  the  domain ,ashmore,4214,qld, 07  6553  7651 ,wobbleton.johnnie@yahoo.com,graduate-certificate,legislator,, 9033  0663  5636  2571 ,30,2019-02-20t18:09+00:00
R08403643,g103084463,karen,denean,fleischer,f,61,18/9/1959, 1  tinonee  road  the  bight ,wingham,2429,nsw, 02  1624  4832 ,fleischer.karen@gmail.com,advance-diploma,other-technician,84631, 3205  0381  6754  2432 ,42,2020-06-15t05:04+00:00
R40537823,d173380254,edmond,,skidmore,m,5,8/8/2013, 10  Dugdale  Street ,Cook,2614,ACT, 02  2110  1749 ,skidmore11@hotmail.com,primary-school,n/a,0,n/a,0,2018-12-01T12:56+00:00
R61040389,h138496100,david,ray,cabe,f,19,29/5/2001, 435  warrandyte  road  highfields ,baxter,3911,vic, 03  7869  4786 ,david.cabe@aol.com,advance-diploma,health-professional,-9999, 3357  6016  5868  8382 ,0,2020-05-13t09:15+00:00
R80329688,a180838296,william,michael,laghribi,f,35,21/6/1985, 19  crozier  circuit  urambi  vlge ,kambah,2902,act, 02  4716  0433 ,,senior-secondary-school,other-labourer,11686, 4705  2223  4712  8722 ,15,2019-04-07t10:43+00:00
R09694974,g197044699,jennifer,h,whiteside,f,12,13/5/2008, 868  old  calder  highway  keilor  retirement  village ,keilor,3036,vic, 03  1601  1620 ,whiteside.jennifer@yahoo.com,secondary-school,n/a,,n/a,0,2020-02-27t09:13+00:00
R14788541,e114818457,bryce,ray,hickson,f,35,31/12/1985, 29  cavenagh  street  chin  arcade ,darwin,0800,nt, 08  1676  3075 ,bryce77@yahoo.com,diploma,construction-worker,, 5108  7756  9080  6037 ,16,2020-02-25t05:36+00:00
R70979804,i197908047,grace,michelle,chadwick,f,29,25/6/1991, 131  newlands  drive  windsong ,paynesville,3880,vic, 03  2046  5169 ,grace91@mail.com.au,advance-diploma,ict-technician,92331, 0660  5616  7698  2085 ,8,2018-02-24t18:43+00:00
R17227012,g112072127,terry,dean,maynard,m,25,18/6/1995, 7  keith  lane  level  one , fannie  bay ,0820,nt, 08  0255  7099 ,cdaegpsjrb@mail.com.au,graduate-diploma,education-professional,133661, 5694  2137  6000  9052 ,6,2020-01-08t17:57+00:00
R53244579,h125347594,darryn,justin,carter,f,63,18/5/1957, 7  viscount  close  villa  1 , shelly  beach ,2261,nsw, 02  7247  2278 ,darryn.carter@mail.com.au,graduate-certificate,art-media-professional,128956, 1357  9417  8235  4587 ,44,2020-03-12t11:44+00:00
R01173981,i187391011,helen,springer,upcraft,f,40,27/7/1980, 136  whittons  road  black  forest ,kettering,7155,tas,,upcraft63@gmail.com,graduate-diploma,manager,, 6163  9940  0790  6798 ,20,2019-08-24t19:24+00:00
R64543768,h136857446,amelia,lee,todd,f,11,22/8/2009, 66  blowering  road  wunelli ,tumut,2720,nsw, 02  8358  2719 ,amelia.todd@mail.com,primary-school,n/a,0,n/a,0,2020-04-11t18:06+00:00
R24681265,f162124568,darion,allen,falls,m,53,16/8/1967, 40  james  street  big  b  arcade , burleigh  heads ,4220,qld, 07  1425  2722 ,darion.falls@mail.com.au,secondary-school,shop-assistent,7730, 6548  3904  3645  6879 ,34,2020-03-25t11:56+00:00
R31223116,b132123611,charles,aaron,palmer,f,56,26/8/1964, 24  parkinson  street  weston  creek  health  centre ,weston,2611,act, 02  6705  8163 ,palmer.charles@gmail.com,advance-diploma,legal-professional,, 7443  9836  2413  4715 ,36,2019-10-16t02:11+00:00
R14603957,h170395614,megan,lynn,goodes,f,61,31/5/1959, 95  wades  road  little  brown  house ,caboolture,4510,qld, 07  4936  3150 ,megan78@hotmail.com,graduate-diploma,art-media-professional,82798, 6858  0330  5286  4432 ,37,2015-04-01t15:37+00:00
R39058189,c189809315,harry,wayne,withers,f,63,2/9/1957, 130  georges  road  horton  vale ,ceres,3221,vic, 03  7426  9849 ,withers46@mail.com,certificate-i,personal-assistant,36704, 1057  2869  7391  6557 ,44,2020-07-18t04:54+00:00
R73066286,b168320667,thierry,black,hamrick,f,17,4/12/2003, 37  seymour  avenue  chippendale  village ,modbury,5092,sa, 08  6175  0625 ,lndfpfimeq@hotmail.com,senior-secondary-school,casual-worker,0, 2733  5556  7050  0208 ,2,2020-01-04t16:27+00:00
R72817679,e177798621,connie,s,holmes,f,77,21/6/1943, 6259  broken  hills  drive  araucaria  precinct , sanctuary  cove ,4212,qld, 07  8625  8021 ,bhjemfagha@gmail.com,advance-diploma,re-tired,0, 3251  9565  7126  9931 ,45,2020-05-16t02:57+00:00
R25586781,b156287158,virginia,craft,fielding,f,66,22/2/1954, 790  yan  yean  road  cara  hill ,doreen,3754,vic, 03  6732  6568 ,virginia.fielding@hotmail.com,certificate-ii,construction-worker,74799, 1962  7084  9839  0301 ,46,2019-06-20t11:16+00:00
R04638500,e150360048,victor,brian,gittings,f,52,27/1/1968, 785  back  eildon  road  blackridge  flyfishing  school ,eildon,3713,vic, 03  8054  0641 ,victor56@gmail.com,certificate-iv,other-worker,57664, 0058  0361  4400  5440 ,33,2020-03-22t07:36+00:00
R43173903,g103149337,kimberly,,kivett,f,9,3/7/2011, 49  augusta  road  calvary  hospital  marian  hse , lenah  valley ,7008,tas, 03  2482  9241 ,kivett66@hotmail.com,primary-school,n/a,0,n/a,0,2020-02-23t16:31+00:00
