rec_id_edu,ssn,first_name_edu,middle_name_edu,last_name_edu,gender_edu,current_age,birth_date_edu,street_address_edu,suburb_edu,postcode_edu,state_edu,phone_edu,email_edu,education,occupation,salary,credit_card_number,years_of_experience,employment_timestamp,rec_id_med,first_name_med,middle_name_med,last_name_med,gender_med,age_at_consultation,birth_date_med,medicare_number,street_address_med,suburb_med,postcode_med,state_med,phone_med,email_med,marital_status,height,weight,bmi,blood_pressure,cholesterol_level,smoking_status,clinical_notes,consultation_timestamp
R41533420,g135344201,christina,iesha,allen,f,60.0,6/7/1957, 3  Towns  Crescent ,Turner,2612.0,ACT,,,certificate-iv,other-worker,68178.0, 8753  8290  4370  4451 ,43.0,2016-11-14T06:54+00:00,,,,,,,,,,,,,,,,,,,,,,,
R49097862,i160792984,alex,wayne,buchanan,f,29.0,25/5/1991, 32  karalta  road  erina  gardens  caravan  park ,erina,2250.0,nsw, 02  5164  4685 ,mcerlrpcrn@mail.com,bachelor-degree,health-professional,130853.0, 9885  2150  8501  4593 ,1.0,2011-12-04t18:10+00:00,rec-98106,alex,wayne,buchanan,f,24.0,25/5/1991, 5543  84715  2  3 , 32  karalta  road  erina  gardens  caravan  park ,erina,2250.0,nsw, 02  5164  4685 ,mcerlrpcrn@mail.com,not-married,167.0,124.0,44.46197425508265,72.0,194.0,0.0,decreased-appetite,2015-03-25t08:04+00:00
R98369168,a169693818,william,alexander,scott,f,50.0,24/9/1970, 6  george  crescent  robertson  barracks , fannie  bay ,820.0,nt, 08  1898  9375 ,scott9@aol.com,graduate-diploma,general-manager,147477.0, 1279  3875  7975  1941 ,31.0,2020-04-14t07:57+00:00,rec-82690,william,alexander,scott,m,43.0,24/9/1970, 7321  40056  1  2 , 2801  calder  highway  minto ,faraday,3451.0,vic, 03  9124  8416 ,scott9@aol.com,married-de-facto,184.0,87.0,25.697069943289225,74.0,187.0,0.0,hyperglycemia,2013-03-22t21:41+00:00
R58675720,f176785520,johnnie,todd,wobbleton,f,50.0,21/4/1970, 74  wardoo  street  the  domain ,ashmore,4214.0,qld, 07  6553  7651 ,wobbleton.johnnie@yahoo.com,graduate-certificate,legislator,, 9033  0663  5636  2571 ,30.0,2019-02-20t18:09+00:00,rec-71172,johnnie,todd,wobbleton,f,42.0,21/4/1970, 6119  93135  2  2 , 8  peninsula  avenue  logandale  lakes ,loganholme,,qld,,wobbleton.johnnie.yahoo.com,married,175.0,124.0,40.48979591836735,77.0,63.0,0.0,night-sweats,2012-05-02t10:39+00:00
R72556708,f176785520,johnnie,,wobbleton,f,49.0,21/4/1970, 74  wardoo  street  the  domain ,ashmore,4214.0,qld, 07  6553  7651 ,wobbleton.johnnie@yahoo.com,graduate-certificate,legislator,9999.0, 9033  0663  5636  2571 ,30.0,2018-04-21T04:30+00:00,rec-71172,johnnie,todd,wobbleton,f,42.0,21/4/1970, 6119  93135  2  2 , 8  peninsula  avenue  logandale  lakes ,loganholme,,qld,,wobbleton.johnnie.yahoo.com,married,175.0,124.0,40.48979591836735,77.0,63.0,0.0,night-sweats,2012-05-02t10:39+00:00
R08403643,g103084463,karen,denean,fleischer,f,61.0,18/9/1959, 1  tinonee  road  the  bight ,wingham,2429.0,nsw, 02  1624  4832 ,fleischer.karen@gmail.com,advance-diploma,other-technician,84631.0, 3205  0381  6754  2432 ,42.0,2020-06-15t05:04+00:00,,,,,,,,,,,,,,,,,,,,,,,
R40537823,d173380254,edmond,,skidmore,m,5.0,8/8/2013, 10  Dugdale  Street ,Cook,2614.0,ACT, 02  2110  1749 ,skidmore11@hotmail.com,primary-school,,0.0,,0.0,2018-12-01T12:56+00:00,,,,,,,,,,,,,,,,,,,,,,,
R61040389,h138496100,david,ray,cabe,f,19.0,29/5/2001, 435  warrandyte  road  highfields ,baxter,3911.0,vic, 03  7869  4786 ,david.cabe@aol.com,advance-diploma,health-professional,9999.0, 3357  6016  5868  8382 ,0.0,2020-05-13t09:15+00:00,rec-76322,david,ray,cabe,m,14.0,29/5/2001, 1419  95681  1  2 , 435  warrandyte  road  highfields ,baxter,3911.0,vic,,david.cabe@aol.com,not-married,160.0,46.0,17.968749999999996,74.0,165.0,1.0,respiratory-virus,2015-12-17t20:35+00:00
R80329688,a180838296,william,michael,laghribi,f,35.0,21/6/1985, 19  crozier  circuit  urambi  vlge ,kambah,2902.0,act, 02  4716  0433 ,,senior-secondary-school,other-labourer,11686.0, 4705  2223  4712  8722 ,15.0,2019-04-07t10:43+00:00,rec-88181,william,michael,laghribi,f,30.0,21/6/1985, 2035  15023  2  2 , 60  paul  coe  crescent  jacana  park ,ngunnawal,2913.0,act, 02  4716  0433 ,,widowed,195.0,83.0,21.827744904667984,75.0,210.0,0.0,crying,2015-06-21t08:45+00:00
R09694974,g197044699,jennifer,h,whiteside,f,12.0,13/5/2008, 868  old  calder  highway  keilor  retirement  village ,keilor,3036.0,vic, 03  1601  1620 ,whiteside.jennifer@yahoo.com,secondary-school,,,,0.0,2020-02-27t09:13+00:00,rec-32158,jennifer,h,whiteside,f,5.0,13/5/2008, 5474  52457  2  2 , 26  pope  road  hmas  cerberus ,mornington,3931.0,vic, 03  1601  1620 ,,,104.0,22.0,20.34023668639053,75.0,140.0,0.0,vertigo,2013-10-11t05:34+00:00
